#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 07 27 07 20 147  4.3  5.4 99.00 99.00 99.00 999 1014.5  28.9  29.7  24.5 99.0 99.00
2021 07 27 07 30 146  4.0  4.8 99.00 99.00 99.00 999 1014.6  28.8  29.7  24.4 99.0 99.00
2021 07 27 07 40 140  3.9  4.7  0.26  4.00  3.00 178 1014.3  28.8  29.7  24.4 99.0 99.00
2021 07 27 07 50 155  4.2  5.2 99.00 99.00 99.00 999 1014.1  28.8  29.7  24.3 99.0 99.00
2021 07 27 08 00 148  3.8  4.5 99.00 99.00 99.00 999 1014.1  28.8  29.6  24.5 99.0 99.00
2021 07 27 08 10 150  4.1  5.3 99.00 99.00 99.00 999 1013.9  28.7  29.6  24.5 99.0 99.00
2021 07 27 08 20 158  4.2  5.4 99.00 99.00 99.00 999 1013.9  28.7  29.5  24.3 99.0 99.00
2021 07 27 08 30 156  3.9  4.9 99.00 99.00 99.00 999 1014.0  28.7  29.6  24.5 99.0 99.00
2021 07 27 08 40 151  3.9  4.7  0.29  2.35  2.90 162 1013.9  28.7  29.5  24.5 99.0 99.00
2021 07 27 08 50 153  4.0  4.8 99.00 99.00 99.00 999 1013.9  28.7  29.5  24.4 99.0 99.00
2021 07 27 09 00 159  3.4  4.9 99.00 99.00 99.00 999 1013.9  28.7  29.5  24.5 99.0 99.00
2021 07 27 09 10 156  3.1  3.9 99.00 99.00 99.00 999 1013.8  28.7  29.5  24.4 99.0 99.00
2021 07 27 09 20 159  2.7  3.5 99.00 99.00 99.00 999 1013.8  28.6  29.5  24.1 99.0 99.00
2021 07 27 09 30 165  2.8  3.5 99.00 99.00 99.00 999 1013.8  28.7  29.5  24.1 99.0 99.00
2021 07 27 09 40 163  2.2  3.1  0.25  2.60  3.08 174 1013.8  28.6  29.5  24.2 99.0 99.00
2021 07 27 09 50 162  2.8  3.7 99.00 99.00 99.00 999 1013.7  28.6  29.5  24.4 99.0 99.00
2021 07 27 10 00 170  2.9  3.8 99.00 99.00 99.00 999 1013.8  28.6  29.5  24.3 99.0 99.00
2021 07 27 10 10 170  2.6  3.3 99.00 99.00 99.00 999 1013.9  28.6  29.5  24.1 99.0 99.00
2021 07 27 10 20 167  2.2  2.9 99.00 99.00 99.00 999 1013.9  28.6  29.4  24.1 99.0 99.00
2021 07 27 10 30 172  2.3  2.9 99.00 99.00 99.00 999 1013.8  28.6  29.4  24.3 99.0 99.00
2021 07 27 10 40 176  2.5  3.2  0.27  2.35  3.02 166 1013.9  28.5  29.4  24.3 99.0 99.00
2021 07 27 10 50 170  2.2  2.9 99.00 99.00 99.00 999 1014.1  28.5  29.5  24.5 99.0 99.00
2021 07 27 11 00 160  1.8  2.5 99.00 99.00 99.00 999 1014.2  28.5  29.5  24.7 99.0 99.00
2021 07 27 11 10 168  2.0  2.8 99.00 99.00 99.00 999 1014.1  28.4  29.5  24.6 99.0 99.00
2021 07 27 11 20 176  2.0  3.0 99.00 99.00 99.00 999 1014.0  28.4  29.5  24.7 99.0 99.00
2021 07 27 11 30 186  1.9  3.1 99.00 99.00 99.00 999 1014.1  28.4  29.5  24.9 99.0 99.00
2021 07 27 11 40 179  1.8  2.9  0.25  3.85  3.07 162 1014.2  28.4  29.5  24.8 99.0 99.00
2021 07 27 11 50 179  2.3  3.2 99.00 99.00 99.00 999 1014.2  28.4  29.5  24.6 99.0 99.00
